"code_loc","site_ID","DateTimeOriginal","question__species","question__count_median","capture_date_local","capture_time_local"
"KAR","KAR_E02","2017-12-28 07:16:02","foxcape",1,"2017-12-28","07:16:02"
"KAR","KAR_D03","2018-01-14 17:51:22","kudu",1,"2018-01-14","17:51:22"
"KAR","KAR_D04","2017-11-01 10:21:45","gemsbokoryx",1,"2017-11-01","10:21:45"
"KAR","KAR_B01","2018-01-01 18:23:40","hartebeestred",1,"2018-01-01","18:23:40"
"KAR","KAR_B02","2017-11-08 17:42:59","hartebeestred",1,"2017-11-08","17:42:59"
"KAR","KAR_B03","2017-12-06 17:04:57","zebramountain",1,"2017-12-06","17:04:57"
"KAR","KAR_E01","2018-01-04 16:23:19","bustardkori",2,"2018-01-04","16:23:19"
"KAR","KAR_B03","2017-11-15 16:30:01","steenbok",1,"2017-11-15","16:30:01"
"KAR","KAR_B02","2018-01-25 10:09:46","gemsbokoryx",1,"2018-01-25","10:09:46"
"KAR","KAR_D04","2018-01-27 22:35:57","eland",1,"2018-01-27","22:35:57"
"KAR","KAR_A01","2018-01-30 10:09:21","gemsbokoryx",1,"2018-01-30","10:09:21"
"KAR","KAR_D01","2017-10-27 02:18:45","gemsbokoryx",2,"2017-10-27","02:18:45"
"KAR","KAR_C03","2018-02-05 13:03:16","steenbok",1,"2018-02-05","13:03:16"
"KAR","KAR_D04","2017-12-02 14:41:48","gemsbokoryx",1,"2017-12-02","14:41:48"
"KAR","KAR_B03","2017-11-26 10:15:16","gemsbokoryx",1,"2017-11-26","10:15:16"
"KAR","KAR_D04","2017-10-05 08:01:16","baboon",1,"2017-10-05","08:01:16"
"KAR","KAR_B01","2018-01-23 08:05:23","zebramountain",1,"2018-01-23","08:05:23"
"KAR","KAR_B02","2018-01-20 16:42:58","birdother",1,"2018-01-20","16:42:58"
"KAR","KAR_E01","2017-12-10 01:04:03","gemsbokoryx",2,"2017-12-10","01:04:03"
"KAR","KAR_A02","2017-10-29 15:07:15","gemsbokoryx",1,"2017-10-29","15:07:15"
"KAR","KAR_B02","2018-01-30 13:39:15","gemsbokoryx",1,"2018-01-30","13:39:15"
"KAR","KAR_B03","2017-10-26 08:46:04","duikercommon",1,"2017-10-26","08:46:04"
"KAR","KAR_C02","2018-01-05 23:06:19","hartebeestred",1,"2018-01-05","23:06:19"
"KAR","KAR_E01","2017-12-19 15:05:09","caracal",1,"2017-12-19","15:05:09"
"KAR","KAR_A01","2018-01-26 09:11:29","eland",1,"2018-01-26","09:11:29"
"KAR","KAR_B02","2018-01-04 06:53:09","kudu",1,"2018-01-04","06:53:09"
"KAR","KAR_E01","2017-11-09 20:20:25","lionmale",2,"2017-11-09","20:20:25"
"KAR","KAR_A02","2017-12-03 12:34:48","eland",1,"2017-12-03","12:34:48"
"KAR","KAR_B03","2017-11-20 01:05:46","zebramountain",2,"2017-11-20","01:05:46"
"KAR","KAR_D04","2017-10-21 10:37:08","gemsbokoryx",1,"2017-10-21","10:37:08"
"KAR","KAR_B03","2017-12-06 04:41:29","gemsbokoryx",1,"2017-12-06","04:41:29"
"KAR","KAR_B01","2017-11-08 19:40:33","gemsbokoryx",1,"2017-11-08","19:40:33"
"KAR","KAR_D04","2018-01-31 11:40:42","kudu",1,"2018-01-31","11:40:42"
"KAR","KAR_D01","2018-01-26 16:27:27","kudu",1,"2018-01-26","16:27:27"
"KAR","KAR_B02","2018-02-02 22:48:05","gemsbokoryx",1,"2018-02-02","22:48:05"
"KAR","KAR_E01","2017-11-07 02:01:33","jackalblackbacked",1,"2017-11-07","02:01:33"
"KAR","KAR_B03","2018-01-26 15:33:59","springbok",1,"2018-01-26","15:33:59"
"KAR","KAR_E02","2017-11-04 11:20:40","porcupine",1,"2017-11-04","11:20:40"
"KAR","KAR_C02","2017-12-31 11:37:45","porcupine",1,"2017-12-31","11:37:45"
"KAR","KAR_C02","2018-01-31 18:37:35","bustardkori",1,"2018-01-31","18:37:35"
"KAR","KAR_E02","2017-12-16 07:55:58","jackalblackbacked",1,"2017-12-16","07:55:58"
"KAR","KAR_E01","2017-12-11 00:24:37","baboon",2,"2017-12-11","00:24:37"
"KAR","KAR_D01","2017-11-02 09:02:05","kudu",1,"2017-11-02","09:02:05"
"KAR","KAR_C02","2017-10-18 08:03:56","kudu",1,"2017-10-18","08:03:56"
"KAR","KAR_E02","2018-02-05 03:12:11","jackalblackbacked",1,"2018-02-05","03:12:11"
"KAR","KAR_E03","2017-11-15 13:30:30","kudu",1,"2017-11-15","13:30:30"
"KAR","KAR_B03","2017-11-29 06:49:38","baboon",1,"2017-11-29","06:49:38"
"KAR","KAR_B03","2017-11-20 05:21:52","eland",1,"2017-11-20","05:21:52"
"KAR","KAR_D01","2017-10-16 06:56:35","baboon",1,"2017-10-16","06:56:35"
"KAR","KAR_B03","2018-01-28 07:48:57","springbok",1,"2018-01-28","07:48:57"
"KAR","KAR_E01","2017-10-20 10:28:28","jackalblackbacked",1,"2017-10-20","10:28:28"
"KAR","KAR_B02","2017-10-28 15:05:33","kudu",1,"2017-10-28","15:05:33"
"KAR","KAR_E02","2017-11-26 19:35:08","kudu",1,"2017-11-26","19:35:08"
"KAR","KAR_A02","2017-11-17 11:43:11","kudu",1,"2017-11-17","11:43:11"
"KAR","KAR_E01","2018-01-22 17:01:49","eland",1,"2018-01-22","17:01:49"
"KAR","KAR_C02","2018-01-29 04:01:20","kudu",1,"2018-01-29","04:01:20"
"KAR","KAR_A02","2018-01-29 04:55:20","gemsbokoryx",1,"2018-01-29","04:55:20"
"KAR","KAR_E03","2017-12-09 19:47:01","baboon",1,"2017-12-09","19:47:01"
"KAR","KAR_E01","2017-12-14 08:37:43","gemsbokoryx",1,"2017-12-14","08:37:43"
"KAR","KAR_B02","2018-02-04 01:00:13","rhinocerosblack",1,"2018-02-04","01:00:13"
"KAR","KAR_C03","2017-12-12 18:11:02","kudu",1,"2017-12-12","18:11:02"
"KAR","KAR_B01","2017-11-28 07:51:17","porcupine",1,"2017-11-28","07:51:17"
"KAR","KAR_E03","2017-11-20 13:22:12","rhinocerosblack",1,"2017-11-20","13:22:12"
"KAR","KAR_A01","2017-10-14 22:45:46","kudu",1,"2017-10-14","22:45:46"
"KAR","KAR_E01","2017-11-01 14:58:07","gemsbokoryx",1,"2017-11-01","14:58:07"
"KAR","KAR_C02","2018-02-01 19:54:51","zebramountain",1,"2018-02-01","19:54:51"
"KAR","KAR_E01","2017-11-03 23:44:50","springbok",2,"2017-11-03","23:44:50"
"KAR","KAR_E03","2018-01-17 02:54:45","bustardkori",1,"2018-01-17","02:54:45"
"KAR","KAR_A01","2017-10-25 21:06:33","eland",1,"2017-10-25","21:06:33"
"KAR","KAR_B02","2017-11-30 21:33:04","springbok",1,"2017-11-30","21:33:04"
"KAR","KAR_B03","2018-01-23 16:33:11","gemsbokoryx",1,"2018-01-23","16:33:11"
